scorer,DLC_resnet50_SalamanderApr18shuffle1_12000,DLC_resnet50_SalamanderApr18shuffle1_12000,DLC_resnet50_SalamanderApr18shuffle1_12000,DLC_resnet50_SalamanderApr18shuffle1_12000,DLC_resnet50_SalamanderApr18shuffle1_12000,DLC_resnet50_SalamanderApr18shuffle1_12000,DLC_resnet50_SalamanderApr18shuffle1_12000,DLC_resnet50_SalamanderApr18shuffle1_12000,DLC_resnet50_SalamanderApr18shuffle1_12000,DLC_resnet50_SalamanderApr18shuffle1_12000,DLC_resnet50_SalamanderApr18shuffle1_12000,DLC_resnet50_SalamanderApr18shuffle1_12000,DLC_resnet50_SalamanderApr18shuffle1_12000,DLC_resnet50_SalamanderApr18shuffle1_12000,DLC_resnet50_SalamanderApr18shuffle1_12000
bodyparts,topjoint,topjoint,topjoint,torso1,torso1,torso1,torso2,torso2,torso2,torso3,torso3,torso3,bottomjoint,bottomjoint,bottomjoint
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,298.21453857421875,298.8384704589844,0.9472888708114624,271.3582763671875,303.0713806152344,0.9391012191772461,249.9702911376953,308.39459228515625,0.936297595500946,223.29067993164062,311.50732421875,0.9380124807357788,202.60968017578125,313.2055969238281,0.9559670090675354
1,224.64450073242188,264.5591125488281,0.9261219501495361,225.89346313476562,237.5889434814453,0.9141791462898254,228.1105194091797,211.56993103027344,0.8347043991088867,230.1770782470703,183.6171417236328,0.5652076601982117,230.01657104492188,160.24801635742188,0.9504148960113525
2,338.53961181640625,238.4274139404297,0.9695237874984741,301.1974792480469,233.556396484375,0.8866387009620667,258.41815185546875,238.22804260253906,0.8661339282989502,221.92076110839844,238.48399353027344,0.8977916836738586,196.47061157226562,237.3788299560547,0.8663536310195923
3,378.6198425292969,323.8643798828125,0.9657237529754639,338.38494873046875,297.6553649902344,0.909217894077301,304.75750732421875,280.6750183105469,0.9064899682998657,265.6716003417969,266.48529052734375,0.8547046780586243,229.44557189941406,261.11376953125,0.9719685316085815
4,355.2339782714844,251.93370056152344,0.9832071661949158,319.49102783203125,253.70936584472656,0.9371257424354553,284.8948974609375,257.13336181640625,0.8744261264801025,253.78262329101562,259.7521667480469,0.8653364181518555,222.05787658691406,250.11997985839844,0.936579167842865
5,331.1961669921875,208.2386932373047,0.9079467058181763,302.81011962890625,218.77798461914062,0.8346322178840637,270.80816650390625,229.30584716796875,0.7155800461769104,240.91253662109375,229.76959228515625,0.8611509799957275,206.9791259765625,231.62319946289062,0.7418139576911926
6,353.6235656738281,245.8286590576172,0.9780904054641724,309.6077575683594,240.8008575439453,0.9260411262512207,267.71759033203125,230.8079376220703,0.8773303627967834,221.3165283203125,232.66519165039062,0.8081355690956116,175.51702880859375,250.52328491210938,0.9707620739936829
7,297.3481140136719,224.642822265625,0.9922816753387451,264.37725830078125,233.99290466308594,0.9155645966529846,238.04664611816406,249.8724365234375,0.8431015610694885,209.93980407714844,260.8200988769531,0.9739298820495605,187.95362854003906,269.7196960449219,0.9534507393836975
